,Player,Matches,Innings,Not_Out,Runs,Ball_Faced,Hundreds,Fiftys,Zeros,Fours,Sixes,Average,Strike_Rate,Country,Highest_score
615,GA Faulkner,25,47,4,1754,1256,4,8,2,122,3,40.79,58.28,South,204
616,GA Gooch,243,337,12,13190,25007,28,69,17,1486,40,39.78,55.555,England,333
617,GA Headley,22,40,4,2190,416,10,5,2,104,1,60.83,56.0,West,270
618,GA Hick,185,232,21,7229,12111,11,45,21,728,63,34.325,61.480000000000004,England,178
619,GAHM Parkar,10,10,1,165,332,0,0,0,11,0,18.33,49.69,India,42
620,GB Hogg,138,69,26,845,1044,0,2,9,44,8,17.0,109.81,Australia,71
621,GB Hole,18,33,2,789,30,0,6,2,62,0,25.45,40.0,Australia,66
622,GB Troup,22,12,8,101,140,0,0,0,7,2,25.25,72.14,New,39
623,GC Dyer,23,13,2,174,227,0,0,1,8,4,15.81,76.65,Australia,45
624,GC Grant,12,22,6,413,0,0,3,1,10,0,25.81,0.0,West,71
625,GC Smith,345,429,25,17224,24908,37,90,18,2075,94,39.52,89.36666666666667,South,277
626,GC White,17,31,2,872,0,2,4,3,55,4,30.06,0.0,South,147
627,GD Barlow,6,6,1,149,255,0,1,2,18,0,29.8,58.43,England,80
628,GD Elliott,99,83,15,2133,2565,2,11,6,161,30,24.880000000000003,93.57,New,115
629,GD McGrath,375,206,89,761,1817,0,1,48,58,1,5.44,43.803333333333335,Australia,61
630,GD McKenzie,60,89,12,945,964,0,2,15,64,16,12.27,34.02,Australia,76
631,GD Phillips,142,137,25,3769,3468,3,20,6,289,163,34.63666666666666,104.98,New,108
632,GE Bradburn,11,10,3,60,130,0,0,1,1,0,8.57,46.15,New,30
633,GE Gomez,29,46,5,1243,0,1,8,5,37,0,30.31,0.0,West,101
634,GE Mathurin,3,2,2,4,5,0,0,0,0,0,0.0,80.0,West,3
635,GE Tyldesley,14,20,2,990,178,3,6,2,37,2,55.0,29.21,England,122
636,GF Labrooy,53,50,10,407,630,0,1,9,36,5,11.469999999999999,62.89,Sri,70
637,GF Lawson,125,120,30,1272,2255,0,4,15,119,5,13.535,62.925,Australia,74
638,GF Linde,24,19,4,252,189,0,0,3,15,13,21.535,116.86,South,48
639,GFJ Liebenberg,4,4,0,94,199,0,0,0,8,0,23.5,47.23,South,39
640,GH Bodi,3,3,0,91,157,0,1,0,9,1,24.75,47.435,South,51
641,GH Hirst,24,38,3,790,0,0,5,5,51,3,22.57,0.0,England,85
642,GH Vihari,16,28,3,839,1988,1,5,1,107,2,33.56,42.2,India,111
643,GH Worker,12,12,2,362,443,0,4,0,29,8,39.5,106.19,New,62
644,GHS Garton,1,1,0,2,4,0,0,0,0,0,2.0,50.0,England,2
645,GHS Trott,24,42,0,921,0,1,4,7,61,1,21.92,0.0,Australia,143
646,GJ Bailey,119,110,17,3514,3979,3,24,4,259,77,33.345,112.11000000000001,Australia,156
647,GJ Batty,1,1,0,4,7,0,0,0,0,0,4.0,57.14,England,4
648,GJ Cosier,27,39,3,1051,1613,2,4,4,120,3,29.865000000000002,73.3,Australia,168
649,GJ Hopkins,35,25,1,322,382,0,0,3,24,7,12.75,98.5,New,45
650,GJ Maxwell,271,248,35,6745,4919,9,34,17,613,300,31.405,141.17,Australia,201
651,GJ Snyman,1,1,0,2,6,0,0,0,0,0,2.0,33.33,South,2
652,GJP Kruger,1,1,0,3,5,0,0,0,0,0,3.0,60.0,South,3
653,GK Khoda,2,2,0,115,185,0,1,0,11,0,57.5,62.16,India,89
654,GK Robertson,10,6,0,49,48,0,0,1,1,0,8.16,102.08,New,17
655,GL Cloete,2,2,0,15,15,0,0,0,2,0,7.5,100.0,South,13
656,GL Weir,11,16,2,416,1,0,3,1,0,0,29.71,0.0,New,74
657,GM Fullerton,7,13,0,325,0,0,3,1,2,1,25.0,0.0,South,88
658,GM Ritchie,74,95,12,2649,5733,3,13,3,213,17,31.3,51.61,Australia,146
659,GM Turner,82,113,12,4589,6409,10,23,2,379,7,45.82,51.025,New,259
660,GM Wood,142,189,17,5593,10587,12,24,13,488,12,32.724999999999994,49.93,Australia,172
661,GN Edwards,14,21,0,515,837,0,3,3,64,4,24.064999999999998,65.3,New,55
662,GN Yallop,69,97,9,3579,6639,8,16,4,340,4,40.16,52.405,Australia,268
663,GO Jones,85,96,13,2020,3232,1,10,3,231,26,27.2,88.11333333333334,England,100
664,GO Rabone,12,20,2,562,0,1,2,0,28,0,31.22,0.0,New,107
665,GP Howarth,117,148,10,3915,8054,6,17,8,367,4,27.75,49.625,New,147
666,GP Swann,178,140,37,1974,2433,0,5,10,238,24,18.923333333333336,94.58333333333333,England,85
667,GP Thorpe,182,256,41,9124,18037,16,60,15,950,14,40.92,58.53,England,200
668,GP Wickramasinghe,174,128,29,899,1648,0,1,29,86,6,9.0,56.785,Sri,51
669,GR Dilley,36,18,8,114,133,0,0,2,11,0,11.4,85.71,England,31
670,GR Larsen,121,70,27,629,970,0,0,6,29,9,14.62,64.84,New,37
671,GR Marsh,167,208,13,7211,15914,13,37,7,609,23,36.575,45.53,Australia,138
672,GR Stead,5,8,0,278,671,0,2,0,36,0,34.75,41.43,New,78
673,GR Viswanath,116,178,11,6519,8403,14,37,11,600,6,30.939999999999998,48.254999999999995,India,222
674,GRA de Silva,4,7,2,41,54,0,0,2,4,1,8.2,50.0,Sri,14
675,GRJ Matthews,92,103,21,2468,5089,4,13,7,189,8,28.9,56.095,Australia,130
676,GRJ Roope,29,40,4,1033,2931,0,7,4,93,4,26.165,40.735,England,77
677,GS Ballance,39,57,3,1795,3619,4,9,4,216,9,29.330000000000002,57.1,England,156
678,GS Blewett,78,109,7,3103,7073,4,17,9,311,7,27.21,51.614999999999995,Australia,214
679,GS Camacho,11,22,0,640,664,0,4,1,74,1,29.09,35.84,West,87
680,GS Chappell,161,223,33,9441,16158,27,45,19,950,23,47.019999999999996,63.615,Australia,247
681,GS Dinusha,1,1,0,11,16,0,0,0,1,0,11.0,68.75,Sri,11
682,GS Ramchand,33,53,5,1180,0,2,5,6,36,1,24.58,0.0,India,109
683,GS Sobers,93,160,21,8032,4063,26,30,12,593,32,57.78,53.58,West,365
684,GSNFG Jayasuriya,30,26,1,436,495,0,1,3,33,10,18.36,89.985,Sri,96
685,GT Dowling,39,77,3,2306,812,3,11,6,123,14,31.16,27.95,New,239
686,Gazi Ashraf,7,7,0,59,239,0,0,1,1,0,8.42,24.68,Bangladesh,18
687,Gholam Nousher,9,3,2,8,16,0,0,0,0,0,8.0,50.0,Bangladesh,4
688,Ghulam Ahmed,22,31,9,192,0,0,1,9,0,3,8.72,0.0,India,50
689,Ghulam Ali,3,3,0,53,121,0,0,0,2,0,17.66,43.8,Pakistan,38
690,Golam Faruq,5,4,2,44,104,0,0,0,0,0,22.0,42.3,Bangladesh,23
691,Gulbadin Naib,164,142,29,2277,2542,0,8,14,185,77,20.21,98.655,Afghanistan,82
692,H Carter,28,47,9,873,652,0,4,4,91,0,22.97,46.62,Australia,72
693,H Davids,11,11,0,169,158,0,2,2,18,4,10.94,76.735,South,68
694,H Klaasen,118,109,17,3141,2534,4,16,4,272,123,33.47,129.445,South,174
695,H Sutcliffe,54,84,9,4555,6558,16,23,2,202,6,60.73,34.59,England,194
696,H Trumble,32,57,14,851,0,0,4,7,33,0,19.79,0.0,Australia,70
697,HA Gomes,143,155,26,4586,8116,10,19,10,318,6,34.25,48.075,West,143
698,HAPW Jayawardene,58,83,11,2124,4361,4,5,9,223,15,29.5,48.7,Sri,154
699,HB Cameron,26,45,4,1239,0,0,10,3,43,11,30.21,0.0,South,90
700,HB Shipley,5,2,2,2,2,0,0,0,0,0,0.0,100.0,New,1
701,HC Brook,105,117,14,4476,4580,10,22,5,451,115,40.67666666666667,112.05000000000001,England,317
702,HD Rutherford,24,36,1,906,1443,1,2,3,110,18,24.265,100.11000000000001,New,171
703,HDPK Dharmasena,172,138,40,2090,4544,0,7,6,154,4,21.17,48.8,Sri,69
704,HDRL Thirimanne,197,211,22,5573,9980,7,31,19,480,33,25.766666666666666,73.56333333333333,Sri,155
705,HE van der Dussen,144,148,24,4925,6337,6,33,8,392,116,37.843333333333334,85.32666666666667,South,134
706,HF Wade,10,18,2,327,0,0,0,4,5,0,20.43,0.0,South,40
707,HG Deane,17,27,2,628,0,0,3,1,0,1,25.12,0.0,South,93
708,HG Kuhn,7,6,2,49,42,0,0,0,3,2,12.25,116.66,South,29
709,HG Vivian,7,10,0,421,0,1,5,0,0,3,42.1,0.0,New,100
710,HGJM Kulatunga,2,2,0,19,38,0,0,0,0,0,9.5,50.0,Sri,11
711,HGO Owen-Smith,5,8,2,252,0,1,1,0,0,2,42.0,0.0,South,129
712,HH Dippenaar,140,152,19,5019,9020,7,32,11,554,21,25.046666666666667,43.04333333333333,South,177
713,HH Gibbs,361,417,24,14661,22309,35,66,37,1862,187,32.086666666666666,86.43333333333334,South,228
714,HH Kanitkar,34,27,8,339,512,0,1,2,25,1,17.84,66.21,India,57
715,HH Pandya,219,176,36,4248,3716,1,20,9,344,183,30.66,108.81333333333333,India,108
716,HJ Howarth,30,42,18,291,695,0,1,7,28,0,12.12,29.35,New,61
717,HJ Keith,8,16,1,318,0,0,2,3,28,0,21.2,0.0,South,73
718,HJ Tayfield,37,60,9,862,0,0,2,5,26,5,16.9,0.0,South,75
719,HJH Marshall,82,84,11,2118,3382,3,14,4,181,11,23.26,68.69333333333333,New,160
720,HK Badani,40,36,10,867,1180,1,4,1,68,10,33.34,73.47,India,100
721,HK Bennett,11,2,2,1,2,0,0,0,0,0,0.0,50.0,New,1
722,HL Collins,19,31,1,1352,1974,4,6,0,121,0,45.06,40.47,Australia,203
723,HM Amla,346,434,35,18553,28634,55,87,19,2125,90,42.75333333333333,89.83333333333333,South,311
724,HM Goonatilleke,11,14,5,208,457,0,1,1,21,0,26.560000000000002,48.019999999999996,Sri,56
725,HM Nicholls,147,175,24,5253,8747,10,27,12,529,28,28.086666666666662,73.27666666666666,New,200
726,HMCM Bandara,43,31,8,296,479,0,0,5,22,7,11.266666666666666,67.69333333333333,Sri,43
727,HMRKB Herath,181,180,46,1847,3634,0,3,26,211,8,8.876666666666667,60.35333333333333,Sri,80
728,HP Tillakaratne,283,299,65,8334,17740,13,33,19,764,11,36.235,48.885,Sri,204
729,HR Adhikari,21,36,8,872,600,1,4,5,18,1,31.14,26.0,India,114
730,HR Lance,13,22,1,591,365,0,5,1,42,6,28.14,38.08,South,70
731,HR Walsh,55,23,9,185,266,0,0,2,17,3,11.95,72.31,West,46
732,HS Williams,7,2,1,8,11,0,0,0,0,0,8.0,72.72,South,7
733,HV Patel,25,10,4,77,57,0,0,1,9,3,12.83,135.08,India,18
734,HW Taylor,42,76,4,2936,0,7,17,2,61,7,40.77,0.0,South,176
735,Habibul Bashar,161,204,6,5194,8606,3,38,25,584,14,26.275,60.36,Bangladesh,113
736,Hafizur Rahman,2,1,0,8,24,0,0,0,0,0,8.0,33.33,Bangladesh,8
737,Haider Ali,35,32,3,505,405,0,3,3,43,22,17.41,124.69,Pakistan,68
738,Hamid Hassan,63,31,12,157,241,0,0,4,13,5,11.67,81.78,Afghanistan,22
739,Hammad Azam,16,11,3,114,165,0,0,0,8,3,13.665,80.53,Pakistan,36
740,Hanif Mohammad,55,97,8,3915,1204,12,15,5,201,2,43.98,35.29,Pakistan,337
741,Hannan Sarkar,37,53,0,1045,2132,0,8,7,126,2,19.604999999999997,50.18,Bangladesh,76
742,Hanumant Singh,14,24,2,686,288,1,5,3,97,2,31.18,35.76,India,105
743,Harbhajan Singh,365,284,63,3545,5021,2,9,37,378,80,15.013333333333334,89.89333333333333,India,115
744,Haris Rauf,137,48,20,205,221,0,0,6,13,14,7.365,93.88,Pakistan,35
745,Haris Sohail,75,84,8,2806,4186,4,19,3,228,44,32.166666666666664,77.39,Pakistan,147
746,Haroon Rasheed,35,46,3,1383,2006,3,6,2,112,19,27.76,51.175,Pakistan,153
747,Hasan Ali,146,97,28,903,934,0,2,15,69,55,13.303333333333333,120.7,Pakistan,59
748,Hasan Jamil,6,5,0,111,120,0,0,0,3,2,22.2,92.5,Pakistan,28
749,Hasan Mahmud,62,44,19,244,530,0,0,8,21,8,13.843333333333334,60.93,Bangladesh,38
750,Hasan Nawaz,14,14,2,339,193,1,1,5,19,27,28.25,175.64,Pakistan,105
751,Hasan Raza,23,23,1,477,1088,0,3,2,50,1,22.36,44.53,Pakistan,77
752,Haseebullah Khan,3,3,0,36,30,0,0,1,4,1,12.0,120.0,Pakistan,24
753,Hashmatullah Shahidi,106,111,22,3240,5265,2,24,6,299,14,37.14,67.35666666666667,Afghanistan,246
754,Hasibul Hossain,37,36,7,269,371,0,0,5,20,8,9.684999999999999,73.925,Bangladesh,31
755,Hasti Gul,2,1,1,23,11,0,0,0,2,1,0.0,209.09,Afghanistan,23
756,Hazratullah Zazai,61,61,3,1521,1283,1,5,4,148,83,25.085,110.49000000000001,Afghanistan,162
757,Hon.FS Jackson,20,33,4,1415,0,5,6,3,51,0,48.79,0.0,England,144
758,Humayun Farhat,5,3,0,60,56,0,0,0,5,2,20.0,107.14,Pakistan,39
759,Hussain Talat,19,19,2,395,337,0,2,1,37,5,23.23,117.21,Pakistan,63
760,I Sharma,199,173,62,865,2780,0,1,40,95,1,7.0200000000000005,51.633333333333326,India,57
761,I Udana,56,43,15,493,435,0,2,5,33,24,17.6,116.405,Sri,84
762,IA Healy,287,302,59,6120,10864,4,26,27,502,10,24.195,66.78,Australia,161
763,IC Davis,15,27,1,692,1581,1,4,3,67,2,26.61,43.76,Australia,105
764,ID Blackwell,34,29,2,403,465,0,1,6,38,9,14.92,86.66,England,82
765,IDR Bradshaw,62,34,11,287,480,0,0,6,18,4,12.47,59.79,West,37
766,IDS Smith,161,165,33,2870,3934,2,9,14,324,17,21.424999999999997,81.30000000000001,New,173
767,IG Butler,45,19,10,89,164,0,0,2,6,2,7.75,52.269999999999996,New,25
768,IJ Gould,18,14,2,155,243,0,0,2,5,0,12.91,63.78,England,42
769,IJ Harvey,73,51,11,715,811,0,0,2,65,8,17.87,88.16,Australia,48
770,IJ Siedle,18,34,0,977,0,1,5,3,38,1,28.73,0.0,South,141
771,IJL Trott,127,165,17,6792,11930,13,42,13,676,6,39.443333333333335,73.35666666666667,England,226
772,IK Pathan,173,141,33,2821,4161,1,11,12,282,62,26.51,84.06666666666666,India,102
773,IM Barrow,11,19,2,276,6,1,0,3,3,0,16.23,0.0,West,105
774,IM Chappell,91,152,12,6018,9385,14,34,11,636,22,45.245000000000005,61.32,Australia,196
775,IR Bell,287,370,39,13331,22804,26,82,20,1467,73,35.803333333333335,80.64999999999999,England,235
776,IR Bishop,127,107,30,1037,2519,0,0,13,76,7,14.175,44.22,West,48
777,IR Redpath,66,120,11,4737,9013,8,31,9,436,2,43.45,37.59,Australia,171
778,IS Sodhi,201,96,20,969,1677,0,4,17,87,26,12.546666666666667,73.89999999999999,New,65
779,IT Botham,218,267,21,7313,11236,14,31,20,818,111,28.375,69.905,England,208
780,IVA Richards,308,349,36,15261,17064,35,90,17,1552,210,48.614999999999995,79.985,West,291
781,IWG Johnson,45,66,12,1000,490,0,6,10,53,2,18.51,37.34,Australia,77
782,Ibrahim Zadran,87,94,9,3302,4175,7,19,5,325,55,39.29666666666667,79.11,Afghanistan,177
783,Iftikhar Ahmed,94,79,22,1612,1349,1,5,2,118,64,31.354999999999997,117.845,Pakistan,109
784,Iftikhar Anjum,62,34,19,234,378,0,0,4,15,3,15.6,61.9,Pakistan,32
785,Ihsanullah,24,24,4,443,715,0,4,2,56,8,15.98,82.7725,Afghanistan,65
786,Ijaz Ahmad Ahmadzai,3,3,0,35,32,0,0,0,2,2,11.66,109.37,Afghanistan,16
787,Ijaz Ahmed,310,324,33,9879,15497,22,49,21,948,110,35.0,62.76,Pakistan,211
788,Ijaz Butt,8,16,2,279,0,0,1,1,2,0,19.92,0.0,Pakistan,58
789,Ijaz Faqih,32,27,4,380,825,1,0,6,31,4,19.225,47.36,Pakistan,105
790,Ikram Alikhil,33,25,5,413,663,0,3,0,33,5,16.119999999999997,48.96,Afghanistan,86
791,Imad Wasim,130,90,32,1540,1320,0,6,7,146,31,29.34,120.16499999999999,Pakistan,64
792,Imam-ul-Haq,101,122,11,4741,7275,12,29,7,425,42,31.623333333333335,70.67,Pakistan,157
793,Imran Butt,6,10,0,178,453,0,1,2,20,0,17.8,39.29,Pakistan,91
794,Imran Farhat,105,142,4,4195,7529,4,27,7,552,20,24.513333333333335,75.30333333333333,Pakistan,128
795,Imran Khan,263,277,65,7516,11693,7,37,14,538,100,35.55,60.08500000000001,Pakistan,136
796,Imran Nazir,112,116,3,2822,3439,4,13,15,357,58,26.393333333333334,91.54333333333334,Pakistan,160
797,Imran Tahir,142,40,19,176,243,0,0,6,22,2,13.425,87.66,South,29
798,Imrul Kayes,131,167,4,4350,7299,7,20,10,492,51,21.816666666666666,69.30666666666666,Bangladesh,150
799,Imtiaz Ahmed,41,72,1,2079,0,3,11,9,93,3,29.28,0.0,Pakistan,209
800,Intikhab Alam,47,77,10,1493,884,1,8,10,95,16,22.28,46.26,Pakistan,138
801,Inzamam-ul-Haq,495,547,75,20541,32122,35,129,34,2075,192,29.896666666666665,67.18666666666667,Pakistan,329
802,Iqbal Qasim,50,57,15,549,1467,0,1,10,46,0,13.07,33.67,Pakistan,56
803,Irfan Khan,23,17,4,237,214,0,0,2,23,8,17.5,99.93,Pakistan,37
804,Ishan Kishan,59,56,3,1729,1553,1,13,2,174,69,34.035,113.28,India,210
805,Ismat Alam,1,2,0,101,183,1,0,1,9,0,50.5,55.19,Afghanistan,101
806,Izatullah Dawlatzai,5,3,1,7,27,0,0,1,1,0,3.5,25.92,Afghanistan,6
807,J Andrew,3,3,0,71,58,0,0,0,5,4,23.66,122.41,West,35
808,J Arun Lal,29,42,1,851,1506,0,7,5,76,1,17.705000000000002,47.599999999999994,India,93
809,J Blackwood,56,102,6,2898,5373,3,18,7,347,36,30.18,53.93,West,112
810,J Blades,4,2,2,4,10,0,0,0,0,0,0.0,40.0,West,3
811,J Botha,116,68,26,779,858,0,0,3,68,11,18.455,102.605,South,46
812,J Briggs,33,50,5,815,67,1,2,10,68,0,18.11,29.85,England,121
813,J Charles,122,121,0,3005,2939,3,12,16,329,113,24.9,107.22999999999999,West,130
814,J Da Silva,33,59,9,1238,3017,1,5,5,127,7,24.76,41.03,West,100
815,J Darling,34,60,2,1657,0,3,8,8,68,9,28.56,0.0,Australia,178
816,J Dyson,59,85,11,2114,5650,2,9,5,178,5,29.73,40.89,Australia,127
817,J Fraser-McGurk,15,15,0,213,160,0,1,2,29,7,14.184999999999999,133.075,Australia,50
818,J Garner,156,109,29,911,1506,0,1,22,61,19,10.815,57.23,West,60
819,J Hardstaff,23,38,3,1636,1540,4,10,4,119,3,46.74,36.29,England,205
820,J Lewis,2,2,1,1,4,0,0,0,0,0,1.0,25.0,England,1
821,J Liyanage,29,24,4,763,941,1,5,0,54,19,26.279999999999998,72.125,Sri,101
822,J Louw,5,2,1,24,8,0,0,0,1,3,11.5,214.285,South,23
823,J Mubarak,69,75,11,1327,2188,0,4,8,133,16,20.61,77.74,Sri,72
824,J Overton,12,8,2,50,47,0,0,1,3,1,8.33,106.38,England,19
825,J Ryder,20,32,5,1394,2035,3,9,1,102,3,51.62,44.86,Australia,201
826,J Srinath,296,213,59,1892,3146,0,5,32,172,25,12.420000000000002,64.575,India,76
827,J Theron,13,4,3,37,26,0,0,0,3,1,2.5,126.19,South,31
828,J Yadav,6,9,1,248,575,1,1,0,30,1,31.0,43.13,India,104
829,JA Burns,29,46,1,1588,2741,4,8,7,199,15,30.65,67.86500000000001,Australia,180
830,JA Clarkson,8,5,1,75,71,0,0,1,4,4,18.75,105.63,New,38
831,JA Duffy,27,5,2,19,23,0,0,1,2,0,6.33,82.6,New,8
832,JA Morkel,106,79,21,1332,1152,0,2,2,98,64,22.845,121.805,South,97
833,JA Raval,24,39,1,1143,2670,1,7,3,142,1,30.07,42.8,New,132
834,JA Richardson,33,17,9,138,158,0,0,1,10,1,16.8,87.57,Australia,29
835,JA Rudolph,92,121,16,3785,7676,6,18,8,469,12,24.25,66.06,South,222
836,JA Warrican,21,37,14,337,599,0,0,6,30,8,14.65,56.26,West,41
837,JAH Marshall,13,12,0,264,328,1,1,2,21,4,16.0,86.6,New,161
838,JAJ Christy,10,18,0,618,0,1,5,1,24,3,34.33,0.0,South,103
839,JB Hobbs,61,102,7,5410,5363,15,28,4,276,8,56.94,46.22,England,211
840,JB Stollmeyer,32,56,5,2159,0,4,12,2,69,3,42.33,0.0,West,160
841,JC Adams,181,195,45,5216,11631,6,28,14,461,7,34.94,49.275,West,208
842,JC Alabaster,21,34,6,272,8,0,0,2,5,0,9.71,12.5,New,34
843,JC Archer,65,30,14,244,212,0,0,5,24,9,14.855,120.125,England,38
844,JC Buttler,384,389,60,11881,12446,14,72,32,1095,369,35.64,105.58666666666666,England,162
845,JC Tredwell,62,31,14,195,262,0,0,4,13,5,11.15,113.675,England,30
846,JC Watkins,15,27,1,612,0,0,3,2,37,1,23.53,0.0,South,92
847,JD Campbell,31,53,6,1253,2105,1,3,5,147,17,26.650000000000002,79.21333333333332,West,179
848,JD Ryder,88,96,4,3088,4086,6,15,11,345,62,32.330000000000005,92.71666666666665,New,201
849,JD Wildermuth,2,1,1,1,1,0,0,0,0,0,0.0,100.0,Australia,1
850,JDB Robertson,11,21,2,881,0,2,6,0,15,1,46.36,0.0,England,133
851,JDC Goddard,27,39,11,859,0,0,4,5,34,1,30.67,0.0,West,83
852,JDF Vandersay,47,29,12,218,351,0,1,2,18,3,13.536666666666667,75.85333333333334,Sri,53
853,JDP Oram,229,205,32,4688,6682,6,21,15,429,124,27.003333333333334,92.27,New,133
854,JDS Neesham,172,154,34,3159,3194,2,11,12,289,100,27.573333333333334,106.02333333333333,New,137
855,JE Cheetham,24,43,6,883,0,0,5,1,36,3,23.86,0.0,South,89
856,JE Emburey,125,141,30,2214,5475,0,10,19,227,12,18.42,55.525000000000006,England,75
857,JE Mills,7,10,1,241,0,1,0,2,0,0,26.77,0.0,New,117
858,JE Morris,8,8,1,167,225,0,1,0,18,0,23.85,74.22,England,63
859,JE Root,369,485,53,21428,32200,56,113,24,2100,114,45.343333333333334,90.43333333333332,England,262
860,JE Taylor,166,130,22,1252,1783,1,1,20,157,30,11.496666666666668,92.29666666666667,West,106
861,JEC Franklin,179,157,42,2541,4205,1,8,13,207,45,21.599999999999998,77.56,New,122
862,JED Sealy,11,19,2,478,0,0,3,2,0,3,28.11,0.0,West,92
863,JEF Beck,8,15,0,394,0,0,3,1,15,2,26.26,0.0,New,99
864,JF Reid,44,55,4,1929,4700,6,6,4,162,3,36.9,46.85,New,180
865,JF Smith,4,4,1,138,155,0,1,1,10,6,22.0,94.295,South,91
866,JFM Morrison,35,44,3,908,1821,1,4,4,74,3,21.810000000000002,45.144999999999996,New,117
867,JFW Nicolson,3,5,0,179,0,0,1,0,0,0,35.8,0.0,South,78
868,JG Bethell,25,22,6,598,535,0,5,1,42,29,37.68,122.095,England,82
869,JG Bracewell,94,103,23,1513,3220,1,4,19,118,7,18.465000000000003,55.69500000000001,New,110
870,JG Leggat,9,18,2,351,0,0,2,1,1,0,21.93,0.0,New,61
871,JG Wright,231,296,8,9225,21423,13,47,16,991,25,32.14,46.22,New,185
872,JH Edrich,84,133,9,5361,12427,12,26,6,561,12,40.349999999999994,52.92,England,310
873,JH Kallis,513,610,96,25422,45075,62,149,33,2443,253,45.13666666666666,79.48333333333333,South,224
874,JH Sinclair,25,47,1,1069,225,3,3,7,33,16,23.23,66.22,South,106
875,JHB Waite,50,86,7,2405,287,4,16,9,105,1,30.44,41.11,South,134
876,JHW Fingleton,18,29,1,1189,2177,5,3,3,53,1,42.46,30.82,Australia,136
877,JJ Bumrah,207,108,41,440,990,0,0,35,48,12,5.596666666666667,52.03333333333333,India,34
878,JJ Crowe,114,136,16,3119,7115,3,13,12,293,16,25.979999999999997,48.08,New,128
879,JJ Kelly,36,56,17,664,0,0,0,7,23,0,17.02,0.0,Australia,46
880,JJ Lyons,14,27,0,731,35,1,3,1,10,4,27.07,31.42,Australia,134
881,JJ Martin,10,8,1,158,331,0,0,1,15,0,22.57,47.73,India,39
882,JJ Roy,180,174,4,5793,5153,12,29,18,664,150,32.03,121.57000000000001,England,180
883,JJ van der Wath,18,12,3,135,109,0,0,3,6,9,15.08,122.53999999999999,South,37
884,JK Silva,39,74,0,2099,5212,3,12,6,238,2,28.36,40.27,Sri,139
885,JKC Holt,17,31,2,1066,0,2,5,2,21,1,36.75,0.0,West,166
886,JL Carter,33,28,3,581,822,0,3,1,48,10,23.24,70.68,West,54
887,JL Denly,44,53,2,1398,2833,0,10,2,169,11,25.44333333333333,72.15666666666668,England,94
888,JL Hendriks,20,32,8,447,253,0,2,4,27,1,18.62,24.9,West,64
889,JL Langer,113,189,14,7856,14372,23,30,11,925,44,38.635000000000005,71.55,Australia,250
890,JL Ontong,41,25,2,342,374,0,0,1,24,12,14.975000000000001,107.19,South,48
891,JL Pattinson,4,2,2,5,3,0,0,0,1,0,0.0,166.66,Australia,5
892,JL Smith,32,40,3,1453,1682,2,8,2,150,44,33.583333333333336,127.98333333333335,England,184
893,JM Anderson,401,348,160,1627,3995,0,1,45,207,3,5.846666666666667,46.026666666666664,England,81
894,JM Bairstow,287,348,36,11581,15201,23,53,32,1304,224,36.39666666666667,99.83999999999999,England,167
895,JM Blackham,35,62,11,800,245,0,4,6,43,0,15.68,41.22,Australia,74
896,JM Blanckenberg,18,30,7,455,0,0,2,2,17,4,19.78,0.0,South,59
897,JM Brearley,64,90,6,1952,5959,0,12,12,178,0,23.58,37.66,England,91
898,JM Cox,2,2,0,17,14,0,0,1,3,0,8.5,121.42,England,17
899,JM Ghorpade,8,15,0,229,0,0,0,3,6,0,15.26,0.0,India,41
900,JM Gregory,24,34,3,1146,880,2,7,3,120,3,36.96,60.45,Australia,119
901,JM How,65,77,2,1874,3169,1,11,7,226,10,20.983333333333334,66.85333333333334,New,139
902,JM Kemp,87,67,21,1574,1816,1,10,5,105,62,41.695,104.825,South,100
903,JM Muirhead,5,2,1,4,8,0,0,0,0,0,4.0,50.0,Australia,3
904,JM Parker,60,83,2,1746,3434,3,6,5,112,0,18.475,46.515,New,121
905,JM Parks,46,68,7,1962,1709,2,9,3,141,15,32.16,45.52,England,108
906,JM Sharma,9,7,0,100,68,0,0,1,11,4,14.28,147.05,India,35
907,JM Taylor,20,28,0,997,1170,1,8,1,88,0,35.6,49.31,Australia,108
908,JM Vince,42,39,0,1079,1064,1,5,1,123,17,27.615000000000002,107.935,England,102
909,JM Wiener,7,7,0,140,324,0,1,0,12,0,20.0,43.2,Australia,50
910,JMM Commaille,12,22,1,355,0,0,0,1,0,0,16.9,0.0,South,47
911,JN Gillespie,169,133,44,1531,4195,1,2,21,166,14,18.430000000000003,81.34333333333333,Australia,201
912,JN Malan,34,33,2,1199,1336,3,5,3,122,27,34.9,106.43,South,177
913,JN Mohammed,45,39,5,720,1044,0,4,3,60,11,19.86,77.16,West,91
914,JN Rhodes,297,300,60,8467,12903,5,50,16,648,69,35.385,63.19,South,121
915,JN Snape,11,8,3,125,184,0,0,0,6,0,18.25,65.915,England,38
916,JNT Seales,1,1,1,4,2,0,0,0,1,0,0.0,200.0,West,4
917,JO Holder,282,292,62,5982,8561,3,26,31,562,165,24.28,94.37666666666667,West,202
918,JP Behrendorff,17,2,1,7,9,0,0,0,0,0,7.0,77.77,Australia,5
919,JP Crawley,50,73,10,2035,4997,4,11,6,201,4,27.985,48.405,England,156
920,JP Duminy,326,328,75,9154,12128,10,46,22,735,159,36.11333333333334,85.69,South,166
