,Player,Matches,Innings,Not_Out,Runs,Ball_Faced,Hundreds,Fiftys,Zeros,Fours,Sixes,Average,Strike_Rate,Country,Highest_score
251,BG Lister,12,3,1,1,6,0,0,1,0,0,0.5,16.66,New,1
252,BGK Walker,11,7,4,47,79,0,0,0,3,0,15.66,59.49,New,16
253,BH Pairaudeau,13,21,0,454,0,1,3,3,0,0,21.61,0.0,West,115
254,BJ Dwarshuis,8,6,2,32,44,0,0,1,2,0,8.0,72.72,Australia,17
255,BJ Haddin,226,256,35,6790,9644,6,34,12,689,138,27.326666666666664,85.73666666666666,Australia,169
256,BJ Hodge,40,32,6,758,801,1,3,3,60,19,28.200000000000003,107.295,Australia,123
257,BJ Jacobs,3,2,1,44,32,0,0,1,1,3,44.0,137.5,New,44
258,BJ McKechnie,14,8,4,54,145,0,0,1,4,0,13.5,37.24,New,27
259,BJ Rohrer,1,1,0,16,14,0,0,0,0,1,16.0,114.28,Australia,16
260,BJ Watling,108,146,18,4401,9790,8,24,13,490,11,23.97666666666667,58.830000000000005,New,205
261,BK Kunderan,18,34,4,981,335,2,3,1,139,2,32.7,30.44,India,192
262,BKG Mendis,300,359,21,11418,14898,16,72,34,1224,213,32.70666666666667,93.07666666666667,Sri,245
263,BKV Prasad,194,110,51,424,1070,0,0,18,18,5,7.205,44.54,India,30
264,BL Cairns,121,130,14,1915,2164,0,4,13,142,69,16.5,81.25999999999999,New,64
265,BL D'Oliveira,44,70,8,2484,5039,5,15,4,298,14,40.06,43.95,England,158
266,BL Irvine,4,7,0,353,650,1,2,0,33,6,50.42,54.3,South,102
267,BM Duckett,82,113,6,4478,4671,9,26,9,562,40,40.32,115.15666666666665,England,182
268,BM Laird,44,63,5,1935,4818,1,13,2,146,0,32.49,44.93,Australia,117
269,BM McMillan,116,114,28,2809,5739,4,13,6,261,18,31.36,58.084999999999994,South,127
270,BM Tickner,18,4,2,11,23,0,0,0,0,0,5.5,47.82,New,5
271,BM Wheeler,12,8,6,95,75,0,0,0,7,5,9.25,127.77,New,39
272,BMAJ Mendis,80,59,14,843,943,0,1,3,66,19,18.755,100.83,Sri,72
273,BOP Fernando,37,53,5,1380,2568,1,8,3,152,18,25.213333333333335,75.42,Sri,102
274,BP Julian,25,17,0,224,250,0,0,4,17,6,13.17,89.6,Australia,35
275,BP Nash,30,40,3,1207,2689,2,8,0,141,4,29.71,58.515,West,114
276,BP Patel,31,47,6,1215,1193,1,6,0,108,10,29.91,51.985,India,115
277,BR Blair,14,14,2,174,253,0,0,2,12,1,14.5,68.77,New,29
278,BR Dunk,5,5,0,99,69,0,0,0,8,6,19.8,143.47,Australia,32
279,BR Hartland,25,34,1,614,1590,0,3,4,63,0,18.78,40.62,New,68
280,BR Knight,29,38,7,812,687,2,0,2,94,3,26.19,36.97,England,127
281,BR McDermott,30,28,4,565,621,1,3,4,36,18,31.3,89.955,Australia,104
282,BR Taylor,30,50,6,898,182,2,2,8,67,13,20.4,51.09,New,124
283,BS Bedi,67,101,28,656,600,0,1,20,51,3,8.98,43.16,India,50
284,BS Sandhu,30,18,7,265,282,0,2,3,19,4,21.66,57.364999999999995,India,71
285,BT Foakes,25,46,7,1139,2411,2,4,3,108,7,29.2,47.24,England,113
286,BV Sears,20,6,4,21,23,0,0,0,2,0,10.5,91.3,New,7
287,BW Hilfenhaus,7,3,1,2,10,0,0,1,0,0,1.0,20.0,Australia,2
288,BW Luckhurst,21,41,5,1298,3633,4,5,4,136,1,36.05,35.72,England,131
289,BW Sinclair,21,40,1,1148,260,3,3,5,84,0,29.43,47.3,New,138
290,BW Yuile,17,33,6,481,0,0,1,3,19,0,17.81,0.0,New,64
291,Babar Azam,318,357,39,14693,18145,31,102,19,1515,163,45.92333333333334,90.51333333333332,Pakistan,196
292,Bahir Shah,1,1,0,7,13,0,0,0,1,0,7.0,53.84,Afghanistan,7
293,Basit Ali,69,76,7,2123,3472,2,14,8,172,25,30.494999999999997,61.685,Pakistan,127
294,Bazid Khan,5,5,0,131,232,0,2,1,7,1,26.2,56.46,Pakistan,66
295,Bilawal Bhatti,19,11,3,112,89,0,0,2,12,3,13.165,141.47,Pakistan,39
296,C Bosch,10,10,6,308,337,1,1,1,38,2,42.166666666666664,110.51666666666667,South,100
297,C Connolly,6,2,0,13,10,0,0,1,1,1,6.5,130.0,Australia,13
298,C Green,79,93,17,2694,4308,2,15,4,268,56,36.35333333333333,97.77333333333333,Australia,174
299,C Gunasekara,1,1,1,16,27,0,0,0,2,0,0.0,59.25,Sri,16
300,C Hemraj,6,6,0,82,98,0,0,0,13,2,13.66,83.67,West,32
301,C Hill,49,89,2,3412,931,7,19,9,192,1,39.21,75.08,Australia,191
302,C Jonker,4,4,0,88,62,0,0,0,10,4,22.0,145.24,South,49
303,C Karunaratne,71,61,22,764,894,0,1,8,51,20,17.12,78.34,Sri,75
