,Country,Player,Span,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes
86,India,Mohammed Shami,2013-2025,108,49,20,225,25,7.75,273,82.41,-,-,6,17,9
87,India,V Shankar,2019-2019,12,8,1,223,46,31.85,246,90.65,-,-,-,20,4
88,India,BKV Prasad,1994-2001,161,63,31,221,19,6.90,367,60.21,-,-,8,7,5
89,India,Y Venugopal Rao,2005-2006,16,11,2,218,61*,24.22,363,60.05,-,1,2,16,3
90,India,V Dahiya,2000-2001,19,15,2,216,51,16.61,267,80.89,-,1,2,18,3
91,India,Kuldeep Yadav,2017-2025,113,42,21,207,19,9.85,407,50.85,-,-,3,14,0
92,India,DL Chahar,2018-2022,13,9,3,203,69*,33.83,207,98.06,-,2,1,17,8
93,India,V Rathour,1996-1997,7,7,-,193,54,27.57,331,58.30,-,2,-,16,1
94,India,PP Shaw,2020-2021,6,6,-,189,49,31.50,166,113.85,-,-,-,32,2
95,India,SB Bangar,2002-2004,15,15,2,180,57*,13.84,239,75.31,-,1,3,14,3
96,India,SC Khanna,1979-1984,10,10,2,176,56,22.00,265,66.41,-,2,1,16,2
97,India,GAHM Parkar,1982-1984,10,10,1,165,42,18.33,332,49.69,-,-,-,11+,0+
98,India,RR Powar,2004-2007,31,19,5,163,54,11.64,260,62.69,-,1,-,12,2
99,India,JJ Martin,1999-2001,10,8,1,158,39,22.57,331,47.73,-,-,1,15,0
100,India,AC Bedade,1994-1994,13,10,3,158,51,22.57,183,86.33,-,1,-,11,5
101,India,CPS Chauhan,1978-1981,7,7,-,153,46,21.85,301,50.83,-,-,-,6+,0+
102,India,DJ Hooda,2022-2022,10,7,1,153,33,25.50,189,80.95,-,-,-,10,1
103,India,RS Gavaskar,2004-2004,11,10,2,151,54,18.87,234,64.52,-,1,-,8,2
104,India,AR Khurasiya,1999-2001,12,11,-,149,57,13.54,188,79.25,-,1,1,14,2
105,India,A Nehra,2001-2011,117,45,21,140,24,5.83,244,57.37,-,-,9,12,3
106,India,R Vijay Bharadwaj,1999-2002,10,9,4,136,41*,27.20,194,70.10,-,-,1,15,1
107,India,RK Chauhan,1993-1997,35,18,5,132,32,10.15,171,77.19,-,-,4,5,4
108,India,MSK Prasad,1998-1999,17,11,2,131,63,14.55,225,58.22,-,1,2,11,0
109,India,KH Pandya,2021-2021,5,4,2,130,58*,65.00,128,101.56,-,1,-,11,2
110,India,B Sai Sudharsan,2023-2023,3,3,1,127,62,63.50,142,89.43,-,2,-,17,1
111,India,M Kartik,2002-2007,37,14,5,126,32*,14.00,178,70.78,-,-,1,10,1
112,India,J Arun Lal,1982-1989,13,13,-,122,51,9.38,232,52.58,-,1,4,10,1
113,India,L Balaji,2002-2009,30,16,6,120,21*,12.00,152,78.94,-,-,2,8,3
114,India,V Yadav,1992-1994,19,12,2,118,34*,11.80,116,101.72,-,-,2,7,2
115,India,Arshad Ayub,1987-1990,32,17,7,116,31*,11.60,162,71.60,-,-,1,6,0
116,India,GK Khoda,1998-1998,2,2,-,115,89,57.50,185,62.16,-,1,-,11,0
