,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,To,From
88,India,Y Venugopal Rao,16,11,2,218,61,363.0,363,363.0,0,1,2,16,3,363,363
89,India,V Dahiya,19,15,2,216,51,267.0,267,267.0,0,1,2,18,3,267,267
90,India,Kuldeep Yadav,113,42,21,207,19,407.0,407,407.0,0,0,3,14,0,407,407
91,India,DL Chahar,13,9,3,203,69,207.0,207,207.0,0,2,1,17,8,207,207
92,India,V Rathour,7,7,0,193,54,331.0,331,331.0,0,2,0,16,1,331,331
93,India,PP Shaw,6,6,0,189,49,166.0,166,166.0,0,0,0,32,2,166,166
94,India,SB Bangar,15,15,2,180,57,239.0,239,239.0,0,1,3,14,3,239,239
95,India,SC Khanna,10,10,2,176,56,265.0,265,265.0,0,2,1,16,2,265,265
96,India,GAHM Parkar,10,10,1,165,42,332.0,332,332.0,0,0,0,11,0,332,332
97,India,RR Powar,31,19,5,163,54,260.0,260,260.0,0,1,0,12,2,260,260
98,India,JJ Martin,10,8,1,158,39,331.0,331,331.0,0,0,1,15,0,331,331
99,India,AC Bedade,13,10,3,158,51,183.0,183,183.0,0,1,0,11,5,183,183
100,India,CPS Chauhan,7,7,0,153,46,301.0,301,301.0,0,0,0,6,0,301,301
101,India,DJ Hooda,10,7,1,153,33,189.0,189,189.0,0,0,0,10,1,189,189
102,India,RS Gavaskar,11,10,2,151,54,234.0,234,234.0,0,1,0,8,2,234,234
103,India,AR Khurasiya,12,11,0,149,57,188.0,188,188.0,0,1,1,14,2,188,188
104,India,A Nehra,117,45,21,140,24,244.0,244,244.0,0,0,9,12,3,244,244
105,India,R Vijay Bharadwaj,10,9,4,136,41,194.0,194,194.0,0,0,1,15,1,194,194
106,India,RK Chauhan,35,18,5,132,32,171.0,171,171.0,0,0,4,5,4,171,171
107,India,MSK Prasad,17,11,2,131,63,225.0,225,225.0,0,1,2,11,0,225,225
108,India,KH Pandya,5,4,2,130,58,128.0,128,128.0,0,1,0,11,2,128,128
109,India,B Sai Sudharsan,3,3,1,127,62,142.0,142,142.0,0,2,0,17,1,142,142
110,India,M Kartik,37,14,5,126,32,178.0,178,178.0,0,0,1,10,1,178,178
111,India,J Arun Lal,13,13,0,122,51,232.0,232,232.0,0,1,4,10,1,232,232
112,India,L Balaji,30,16,6,120,21,152.0,152,152.0,0,0,2,8,3,152,152
113,India,V Yadav,19,12,2,118,34,116.0,116,116.0,0,0,2,7,2,116,116
114,India,Arshad Ayub,32,17,7,116,31,162.0,162,162.0,0,0,1,6,0,162,162
115,India,GK Khoda,2,2,0,115,89,185.0,185,185.0,0,1,0,11,0,185,185
116,India,RD Gaikwad,6,6,0,115,71,157.0,157,157.0,0,1,0,16,0,157,157
117,India,FM Engineer,5,4,1,114,54,195.0,195,195.0,0,1,0,13,0,195,195
118,India,KD Ghavri,19,16,6,114,20,194.0,194,194.0,0,0,1,8,0,194,194
119,India,NA Saini,8,5,3,107,45,137.0,137,137.0,0,0,0,9,3,137,137
120,India,RP Singh,58,20,10,104,23,242.0,242,242.0,0,0,3,5,1,242,242
121,India,S Amarnath,3,3,0,100,62,119.0,119,119.0,0,1,0,4,0,119,119
122,India,S Abid Ali,5,3,0,93,70,132.0,132,132.0,0,1,0,6,1,132,132
123,India,JJ Bumrah,89,26,14,91,16,159.0,159,159.0,0,0,5,10,1,159,159
124,India,A Ratra,12,8,1,90,30,127.0,127,127.0,0,0,0,8,0,127,127
125,India,VB Chandrasekhar,7,7,0,88,53,162.0,162,162.0,0,1,0,11,0,162,162
126,India,MA Agarwal,5,5,0,86,32,83.0,83,83.0,0,0,0,12,1,83,83
127,India,R Vinay Kumar,31,13,4,86,27,146.0,146,146.0,0,0,2,5,2,146,146
128,India,S Sriram,8,7,1,81,57,135.0,135,135.0,0,1,1,9,0,135,135
129,India,Jai P Yadav,12,7,3,81,69,123.0,123,123.0,0,1,2,11,1,123,123
130,India,SK Sharma,23,12,4,80,28,135.0,135,135.0,0,0,2,4,0,135,135
131,India,S Badrinath,7,6,1,79,27,172.0,172,172.0,0,0,0,4,0,172,172
132,India,UT Yadav,75,24,14,79,18,134.0,134,134.0,0,0,4,8,1,134,134
133,India,YS Chahal,72,14,5,77,18,141.0,141,141.0,0,0,1,8,0,141,141
134,India,MM Patel,70,27,16,74,15,112.0,112,112.0,0,0,4,7,1,112,112
135,India,AL Wadekar,2,2,0,73,67,90.0,90,90.0,0,1,0,11,0,90,90
136,India,S Viswanath,22,12,4,72,23,139.0,139,139.0,0,0,0,5,0,139,139
137,India,I Sharma,80,28,13,72,13,203.0,203,203.0,0,0,5,6,0,203,203
138,India,NT Tilak Varma,4,4,1,68,52,119.0,119,119.0,0,1,0,6,1,119,119
139,India,FY Fazal,1,1,1,55,55,61.0,61,61.0,0,1,0,7,1,61,61
140,India,RK Singh,2,2,0,55,38,41.0,41,41.0,0,0,0,5,3,41,41
141,India,Mohammed Siraj,44,17,10,55,9,129.0,129,129.0,0,0,1,3,0,129,129
142,India,JV Paranjpe,4,4,1,54,27,91.0,91,91.0,0,0,0,3,1,91,91
143,India,S Venkataraghavan,15,9,4,54,26,126.0,126,126.0,0,0,2,3,0,126,126
144,India,A Mithun,5,3,0,51,24,55.0,55,55.0,0,0,0,2,4,55,55
145,India,D Dasgupta,5,4,1,51,24,82.0,82,82.0,0,0,1,6,0,82,82
146,India,CA Pujara,5,5,0,51,27,130.0,130,130.0,0,0,2,4,0,130,130
147,India,BS Sandhu,22,7,3,51,16,97.0,97,97.0,0,0,2,2,1,97,97
148,India,SS Tiwary,3,2,2,49,37,56.0,56,56.0,0,0,0,5,1,56,56
149,India,DJ Gandhi,3,3,0,49,30,97.0,97,97.0,0,0,0,8,0,97,97
151,Australia,RT Ponting,374,364,39,13589,164,16944.0,16944,16944.0,29,82,20,1223,159,16944,16944
152,Australia,AC Gilchrist,286,278,11,9595,172,9902.0,9902,9902.0,16,55,19,1159,148,9902,9902
153,Australia,ME Waugh,244,236,20,8500,173,11053.0,11053,11053.0,18,50,16,651,57,11053,11053
154,Australia,MJ Clarke,245,223,44,7981,130,10104.0,10104,10104.0,8,58,10,665,53,10104,10104
155,Australia,SR Waugh,325,288,58,7569,120,9971.0,9971,9971.0,3,45,15,530,68,9971,9971
156,Australia,DA Warner,161,159,6,6932,179,7127.0,7127,7127.0,22,33,4,733,130,7127,7127
157,Australia,MG Bevan,232,196,67,6912,108,9320.0,9320,9320.0,6,46,5,450,21,9320,9320
158,Australia,AR Border,273,252,39,6524,127,9134.0,9134,9134.0,3,39,11,500,43,9134,9134
159,Australia,ML Hayden,160,154,15,6131,181,7762.0,7762,7762.0,10,36,9,636,87,7762,7762
160,Australia,DM Jones,164,161,25,6068,145,8362.0,8362,8362.0,7,46,6,380,64,8362,8362
161,Australia,DC Boon,181,177,16,5964,122,9157.0,9157,9157.0,5,37,6,494,16,9157,9157
162,Australia,SPD Smith,170,154,20,5800,164,6669.0,6669,6669.0,12,35,8,521,58,6669,6669
163,Australia,SR Watson,190,169,27,5757,185,6365.0,6365,6365.0,9,33,12,570,131,6365,6365
164,Australia,MEK Hussey,185,157,44,5442,109,6243.0,6243,6243.0,3,39,3,383,80,6243,6243
165,Australia,AJ Finch,146,142,3,5406,153,6162.0,6162,6162.0,17,30,16,532,129,6162,6162
