,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,Start_Year,End/Current_Year,Format,Careerspan
1362,Afghanistan,Ihsanullah,16,16,2,307,57,21.92,440,69.77,0,3,2,38,6,2017,2018,ODI,1
2373,South_Africa_Africa,Zubayr Hamza,8,16,0,307,62,19.18,738,41.59,0,1,2,42,2,2019,2024,Test,5
1269,West_Indies_Indies,A Athanaze,13,13,0,306,66,23.53,368,83.15,0,2,0,37,6,2023,2024,ODI,1
2374,South_Africa_Africa,Q McMillan,13,21,4,306,50,18.0,0,0.0,0,1,4,15,3,1929,1932,Test,3
2208,Pakistan,Wahab Riaz,27,41,5,306,39,8.5,727,42.09,0,0,9,32,5,2010,2018,Test,8
1737,Bangladesh,Shamsur Rahman,6,12,0,305,106,25.41,640,47.65,1,0,1,40,3,2014,2014,Test,0
2686,West_Indies_Indies,JP Greaves,9,18,2,305,115,19.06,585,52.13,1,0,0,28,0,2024,2025,Test,1
949,South_Africa_Africa,DM Benkenstein,23,20,3,305,69,17.94,463,65.87,0,1,3,20,0,1998,2002,ODI,4
2083,New_Zealand_Zealand,BR Hartland,9,18,0,303,52,16.83,967,31.33,0,1,3,35,0,1992,1994,Test,2
2082,New_Zealand_Zealand,DJ Murray,8,16,1,303,52,20.2,1027,29.5,0,1,3,34,0,1994,1995,Test,1
533,England,TK Curran,28,17,9,303,47,37.87,321,94.39,0,0,2,29,5,2017,2021,ODI,4
3132,New_Zealand_Zealand,TG Southee,126,50,23,303,39,11.22,218,138.99,0,0,6,20,18,2008,2024,T20,16
2209,Pakistan,Shadab Khan,6,11,2,300,56,33.33,479,62.63,0,3,0,38,0,2017,2020,Test,3
2375,South_Africa_Africa,PAM Hands,7,12,0,300,83,25.0,0,0.0,0,2,2,2,4,1913,1924,Test,11
2210,Pakistan,Tahir Naqqash,15,19,5,300,57,21.42,330,72.12,0,1,1,36,1,1982,1985,Test,3
534,England,CMW Read,36,24,7,300,30,17.64,410,73.17,0,0,4,21,6,2000,2006,ODI,6
2465,Sri_Lanka_Lanka,MD Gunathilaka,8,16,0,299,61,18.68,597,50.08,0,2,0,32,3,2017,2018,Test,1
950,South_Africa_Africa,LE Bosman,13,11,0,299,88,27.18,293,102.04,0,2,2,37,9,2006,2010,ODI,4
2687,West_Indies_Indies,S Joseph,11,22,3,299,44,15.73,335,89.25,0,0,2,33,13,2024,2025,Test,1
3133,New_Zealand_Zealand,NL McCullum,63,41,15,299,36,11.5,297,100.67,0,0,4,19,8,2007,2016,T20,9
2688,West_Indies_Indies,RA Reifer,8,14,1,298,62,22.92,735,40.54,0,3,1,37,2,2017,2023,Test,6
2376,South_Africa_Africa,ACB Langton,15,23,4,298,73,15.68,0,0.0,0,2,5,0,4,1935,1939,Test,4
1270,West_Indies_Indies,WKM Benjamin,85,52,12,298,31,7.45,406,73.39,0,0,10,18,6,1986,1995,ODI,9
3535,West_Indies_Indies,RR Sarwan,18,16,3,298,59,22.92,286,104.19,0,2,1,19,6,2007,2010,T20,3
2466,Sri_Lanka_Lanka,TAM Siriwardana,5,9,0,298,68,33.11,454,65.63,0,2,1,32,11,2015,2016,Test,1
2377,South_Africa_Africa,S O'Linn,7,12,1,297,98,27.0,125,21.6,0,2,0,23,1,1960,1961,Test,1
2689,West_Indies_Indies,N Phillip,9,15,5,297,47,29.7,47,55.31,0,0,1,21,2,1978,1979,Test,1
536,England,PA Nixon,19,18,4,297,49,21.21,347,85.59,0,0,2,21,7,2007,2007,ODI,0
535,England,GS Ballance,16,15,1,297,79,21.21,443,67.04,0,2,1,21,1,2013,2015,ODI,2
826,Pakistan,Zahoor Elahi,14,14,1,297,86,22.84,507,58.57,0,3,3,25,6,1996,1997,ODI,1
951,South_Africa_Africa,DN Crookes,32,23,3,296,54,14.8,412,71.84,0,1,3,20,5,1994,2000,ODI,6
1271,West_Indies_Indies,G Motie,28,17,6,296,63,26.9,280,105.71,0,2,1,30,13,2022,2025,ODI,3
668,New_Zealand_Zealand,DR Tuffey,94,52,21,295,36,9.51,372,79.3,0,0,7,23,7,2000,2010,ODI,10
2084,New_Zealand_Zealand,RS Cunis,20,31,8,295,51,12.82,256,23.82,0,1,6,23,0,1964,1972,Test,8
2467,Sri_Lanka_Lanka,RS Kalpage,11,18,2,294,63,18.37,708,41.52,0,2,0,35,4,1993,1999,Test,6
1272,West_Indies_Indies,DL Murray,26,17,5,294,61,24.5,468,62.82,0,2,0,18,2,1973,1980,ODI,7
2857,Australia,MW Short,14,13,0,293,66,22.53,179,163.68,0,1,1,29,15,2023,2024,T20,1
2378,South_Africa_Africa,OC Dawson,9,15,1,293,55,20.92,90,30.0,0,1,1,2,0,1947,1949,Test,2
76,India,P Kumar,68,33,12,292,54,13.9,331,88.21,0,1,2,25,7,2007,2012,ODI,5
1519,India,L Amar Singh,7,14,1,292,51,22.46,0,0.0,0,1,1,0,2,1932,1936,Test,4
669,New_Zealand_Zealand,SE Bond,82,40,22,292,31,16.22,384,76.04,0,0,2,19,9,2002,2010,ODI,8
2858,Australia,CA Lynn,18,16,1,291,44,19.4,221,131.67,0,0,1,28,14,2014,2018,T20,4
537,England,DA Reeve,29,21,9,291,35,24.25,389,74.8,0,0,0,19,0,1991,1996,ODI,5
1273,West_Indies_Indies,RN Lewis,28,21,5,291,49,18.18,367,79.29,0,0,1,14,10,1997,2009,ODI,12
2085,New_Zealand_Zealand,HJ Howarth,30,42,18,291,61,12.12,695,29.35,0,1,7,28,0,1969,1977,Test,8
3431,Sri_Lanka_Lanka,HDRL Thirimanne,26,20,2,291,44,16.16,267,108.98,0,0,1,27,5,2012,2016,T20,4
3432,Sri_Lanka_Lanka,C Karunaratne,44,35,16,291,31,15.31,276,105.43,0,0,7,15,12,2021,2025,T20,4
77,India,CS Pandit,36,23,9,290,33,20.71,400,72.5,0,0,2,16,0,1986,1992,ODI,6
1110,Sri_Lanka_Lanka,SMSM Senanayake,49,33,11,290,42,13.18,311,93.24,0,0,6,31,6,2012,2015,ODI,3
350,Bangladesh,Sanuar Hossain,27,27,2,290,52,11.6,597,48.57,0,1,2,23,0,1998,2003,ODI,5
2379,South_Africa_Africa,AMB Rowan,15,23,6,290,41,17.05,124,16.12,0,0,3,2,1,1947,1951,Test,4
2086,New_Zealand_Zealand,KD Mills,19,30,5,289,57,11.56,749,38.58,0,1,5,37,3,2004,2009,Test,5
238,Australia,JN Gillespie,97,39,16,289,44,12.56,367,78.74,0,0,8,16,6,1996,2005,ODI,9
2380,South_Africa_Africa,ARA Murray,10,14,1,289,109,22.23,0,0.0,1,1,1,23,0,1952,1954,Test,2
1111,Sri_Lanka_Lanka,PVD Chameera,54,37,13,289,29,12.04,478,60.46,0,0,3,21,3,2015,2025,ODI,10
2211,Pakistan,Zahid Fazal,9,16,0,288,78,18.0,906,31.78,0,1,0,38,0,1990,1995,Test,5
2468,Sri_Lanka_Lanka,DNT Zoysa,30,40,6,288,28,8.47,695,41.43,0,0,9,31,5,1997,2004,Test,7
1274,West_Indies_Indies,IDR Bradshaw,62,34,11,287,37,12.47,480,59.79,0,0,6,18,4,2004,2007,ODI,3
78,India,MK Tiwary,12,12,1,287,104,26.09,403,71.21,1,1,0,24,3,2008,2015,ODI,7
670,New_Zealand_Zealand,LG Howell,12,12,0,287,68,23.91,388,73.96,0,4,1,31,4,1998,1998,ODI,0
538,England,D Lloyd,8,8,1,285,116,40.71,526,54.18,1,0,0,25,1,1973,1980,ODI,7
539,England,VJ Marks,34,24,3,285,44,13.57,434,65.66,0,0,0,16,0,1980,1988,ODI,8
2087,New_Zealand_Zealand,PT Barton,7,14,0,285,109,20.35,0,0.0,1,1,1,22,0,1961,1963,Test,2
1275,West_Indies_Indies,NO Miller,50,27,13,284,51,20.28,359,79.1,0,1,4,23,4,2008,2018,ODI,10
2690,West_Indies_Indies,CB Lambert,5,9,0,284,104,31.55,706,40.22,1,1,1,34,2,1991,1998,Test,7
1276,West_Indies_Indies,MA Holding,102,42,11,282,64,9.09,377,74.8,0,2,9,22,5,1976,1987,ODI,11
3040,England,JG Bethell,13,12,5,281,62,40.14,182,154.39,0,2,0,16,19,2024,2025,T20,1
1520,India,S Sreesanth,27,40,13,281,35,10.4,539,52.13,0,0,10,38,4,2006,2011,Test,5
79,India,RS Sodhi,18,14,3,280,67,25.45,381,73.49,0,2,0,16,6,2000,2002,ODI,2
1112,Sri_Lanka_Lanka,S Randiv,31,18,2,280,56,17.5,382,73.29,0,1,2,28,1,2009,2016,ODI,7
1277,West_Indies_Indies,CL King,18,14,2,280,86,23.33,267,104.86,0,1,2,20,8,1976,1980,ODI,4
239,Australia,MW Short,15,13,0,280,63,21.53,285,98.24,0,2,1,32,9,2023,2025,ODI,2
2859,Australia,AC Agar,49,29,5,279,29,11.62,278,100.35,0,0,4,19,9,2016,2024,T20,8
2691,West_Indies_Indies,PA Wallace,7,13,0,279,92,21.46,482,57.88,0,2,1,40,2,1997,1999,Test,2
3134,New_Zealand_Zealand,TC Bruce,17,17,2,279,59,18.6,228,122.36,0,2,2,24,7,2017,2020,T20,3
2212,Pakistan,Ijaz Butt,8,16,2,279,58,19.92,0,0.0,0,1,1,2,0,1959,1962,Test,3
2088,New_Zealand_Zealand,GR Stead,5,8,0,278,78,34.75,671,41.43,0,2,0,36,0,1999,1999,Test,0
2692,West_Indies_Indies,LMP Simmons,8,16,0,278,49,17.37,593,46.88,0,0,1,28,4,2009,2011,Test,2
1279,West_Indies_Indies,JE Taylor,90,42,9,278,43,8.42,323,86.06,0,0,7,31,5,2003,2017,ODI,14
1278,West_Indies_Indies,KC Brathwaite,10,10,0,278,78,27.8,483,57.55,0,1,0,15,0,2016,2017,ODI,1
3135,New_Zealand_Zealand,TB Robinson,12,12,2,278,75,27.8,213,130.51,0,2,2,23,11,2024,2025,T20,1
2213,Pakistan,Nazar Mohammad,5,8,1,277,124,39.57,0,0.0,1,1,1,0,0,1952,1952,Test,0
2214,Pakistan,Saleem Altaf,21,31,12,276,53,14.52,546,20.32,0,1,4,11,1,1967,1978,Test,11
952,South_Africa_Africa,PWA Mulder,25,20,5,276,64,18.4,332,83.13,0,2,1,27,4,2017,2025,ODI,8
2693,West_Indies_Indies,IM Barrow,11,19,2,276,105,16.23,6,0.0,1,0,3,3,0,1930,1939,Test,9
351,Bangladesh,Mehrab Hossain jnr,18,16,0,276,54,17.25,642,42.99,0,1,1,24,0,2006,2009,ODI,3
2469,Sri_Lanka_Lanka,SL Malinga,30,37,13,275,64,11.45,619,44.42,0,1,9,36,6,2004,2010,Test,6
3433,Sri_Lanka_Lanka,TAM Siriwardana,22,19,3,275,42,17.18,208,132.21,0,0,4,16,12,2015,2017,T20,2
540,England,JM Anderson,194,79,43,273,28,7.58,561,48.66,0,0,10,23,0,2002,2015,ODI,13
240,Australia,DT Christian,20,18,5,273,39,21.0,307,88.92,0,0,0,23,3,2012,2021,ODI,9
3234,Pakistan,Sohaib Maqsood,26,22,2,273,37,13.65,234,116.66,0,0,2,20,11,2013,2021,T20,8
2860,Australia,AC Gilchrist,13,13,1,272,48,22.66,192,141.66,0,0,0,27,13,2005,2008,T20,3
2089,New_Zealand_Zealand,JC Alabaster,21,34,6,272,34,9.71,8,12.5,0,0,2,5,0,1955,1972,Test,17
2215,Pakistan,Abdul Kadir,4,8,0,272,95,34.0,128,27.34,0,2,2,6,0,1964,1965,Test,1
3536,West_Indies_Indies,FA Allen,39,27,9,272,34,15.11,199,136.68,0,0,5,16,21,2018,2024,T20,6
3537,West_Indies_Indies,AJ Hosein,78,32,15,272,44,16.0,247,110.12,0,0,3,17,13,2021,2025,T20,4
671,New_Zealand_Zealand,GH Worker,10,10,2,272,58,34.0,379,71.76,0,3,0,23,3,2015,2018,ODI,3
827,Pakistan,Umar Amin,16,16,1,271,59,18.06,392,69.13,0,1,0,28,2,2010,2018,ODI,8
241,Australia,JW Hastings,29,21,11,271,51,27.1,273,99.26,0,1,1,29,8,2010,2017,ODI,7
672,New_Zealand_Zealand,MJ Henry,91,38,12,270,48,10.38,290,93.1,0,0,7,22,11,2014,2025,ODI,11
953,South_Africa_Africa,AM Bacher,13,13,0,270,56,20.76,469,57.56,0,1,0,26,0,1997,2005,ODI,8
352,Bangladesh,Jahurul Islam,14,13,1,270,53,22.5,371,72.77,0,1,2,25,2,2010,2013,ODI,3
80,India,AD Gaekwad,15,14,1,269,78,20.69,509,52.84,0,1,2,15,0,1975,1987,ODI,12
541,England,AW Greig,22,19,3,269,48,16.81,378,71.16,0,0,1,19,3,1972,1977,ODI,5
81,India,KBJ Azad,25,21,2,269,39,14.15,400,67.25,0,0,3,19,9,1980,1986,ODI,6
2381,South_Africa_Africa,MJ Susskind,5,8,0,268,65,33.5,0,0.0,0,4,0,0,0,1924,1924,Test,0
3329,South_Africa_Africa,MV Boucher,25,21,6,268,36,17.86,275,97.45,0,0,0,22,2,2005,2010,T20,5
828,Pakistan,Aaqib Javed,163,51,26,267,45,10.68,456,58.55,0,0,7,15,7,1988,1998,ODI,10
673,New_Zealand_Zealand,TA Blundell,12,12,3,266,68,29.55,307,86.64,0,2,0,28,2,2020,2023,ODI,3
1738,Bangladesh,Khaled Mahmud,12,23,1,266,45,12.09,455,58.46,0,0,4,30,3,2001,2003,Test,2
2694,West_Indies_Indies,S Shillingford,16,26,6,266,53,13.3,628,42.35,0,1,7,30,9,2010,2014,Test,4
353,Bangladesh,Shamsur Rahman,10,10,0,266,96,26.6,350,76.0,0,2,2,23,9,2013,2014,ODI,1
1280,West_Indies_Indies,AJ Hosein,38,28,9,266,60,14.0,364,73.07,0,1,3,14,10,2021,2023,ODI,2
2695,West_Indies_Indies,G Motie,11,17,5,265,55,22.08,418,63.39,0,1,2,34,1,2022,2025,Test,3
2090,New_Zealand_Zealand,MJF Shrimpton,10,19,0,265,46,13.94,429,29.37,0,0,6,22,1,1963,1974,Test,11
1739,Bangladesh,Rubel Hossain,27,47,19,265,45,9.46,603,43.94,0,0,7,34,4,2009,2020,Test,11
1363,Afghanistan,Afsar Zazai,17,16,1,264,60,17.6,488,54.09,0,2,3,15,0,2014,2017,ODI,3
542,England,MH Denness,12,11,2,264,66,29.33,417,63.3,0,1,1,17,2,1973,1975,ODI,2
1521,India,V Subramanya,9,15,1,263,75,18.78,141,21.27,0,2,1,32,1,1965,1968,Test,3
2091,New_Zealand_Zealand,GA Bartlett,10,18,1,263,40,15.47,34,64.7,0,0,4,17,1,1961,1968,Test,7
829,Pakistan,Naved Latif,11,11,0,262,113,23.81,417,62.82,1,0,1,32,2,2001,2003,ODI,2
1740,Bangladesh,Taskin Ahmed,17,29,5,261,75,10.87,565,46.19,0,1,3,27,3,2017,2024,Test,7
830,Pakistan,Shaheen Shah Afridi,64,37,17,261,25,13.05,310,84.19,0,0,6,23,10,2018,2025,ODI,7
2696,West_Indies_Indies,RRS Cornwall,10,17,3,261,73,18.64,433,60.27,0,2,1,36,4,2019,2023,Test,4
3330,South_Africa_Africa,D Pretorius,30,17,5,261,77,21.75,159,164.15,0,1,2,22,15,2017,2022,T20,5
2092,New_Zealand_Zealand,RG Hart,11,19,3,260,57,16.25,1012,25.69,0,1,4,18,0,2002,2003,Test,1
1741,Bangladesh,Akram Khan,8,16,0,259,44,16.18,686,37.75,0,0,0,29,3,2000,2003,Test,3
2697,West_Indies_Indies,DM Lewis,3,5,2,259,88,86.33,0,0.0,0,3,0,10,0,1971,1971,Test,0
2093,New_Zealand_Zealand,MG Bracewell,8,14,1,259,74,19.92,454,57.04,0,1,1,34,2,2022,2023,Test,1
2094,New_Zealand_Zealand,EC Petrie,14,25,5,258,55,12.9,299,13.71,0,1,2,10,0,1955,1966,Test,11
3619,Afghanistan,Najeeb Tarakai,12,12,0,258,90,21.5,210,122.85,0,1,1,21,13,2014,2019,T20,5
543,England,JL Smith,13,12,0,258,64,21.5,228,113.15,0,1,2,31,8,2023,2025,ODI,2
674,New_Zealand_Zealand,KJ Wadsworth,13,10,1,258,104,28.66,334,77.24,1,0,1,28,3,1973,1976,ODI,3
1742,Bangladesh,Manjural Islam Rana,6,11,1,257,69,25.7,692,37.13,0,1,2,30,1,2004,2004,Test,0
1522,India,Arshad Ayub,13,19,4,257,57,17.13,800,32.12,0,1,1,25,0,1987,1989,Test,2
1113,Sri_Lanka_Lanka,ML Udawatte,9,9,0,257,73,28.55,383,67.1,0,2,1,25,3,2008,2008,ODI,0
3434,Sri_Lanka_Lanka,I Udana,35,25,11,256,84,18.28,186,137.63,0,1,3,16,14,2009,2021,T20,12
82,India,SS Dighe,23,17,6,256,94,23.27,421,60.8,0,1,1,11,2,2000,2001,ODI,1
2861,Australia,SE Marsh,15,15,1,255,47,18.21,248,102.82,0,0,2,15,10,2008,2016,T20,8
242,Australia,R Edwards,9,8,1,255,80,36.42,349,73.06,0,3,1,22,0,1972,1975,ODI,3
2470,Sri_Lanka_Lanka,NGRP Jayasuriya,22,34,2,255,28,7.96,772,33.03,0,0,6,27,0,2022,2025,Test,3
2095,New_Zealand_Zealand,ADG Roberts,7,12,1,254,84,23.09,5,0.0,0,1,2,3,1,1976,1976,Test,0
1523,India,Dilawar Hussain,3,6,0,254,59,42.33,0,0.0,0,3,0,0,2,1934,1936,Test,2
1114,Sri_Lanka_Lanka,S Ranatunga,13,11,0,253,70,23.0,526,48.09,0,2,0,10,0,1994,1996,ODI,2
2216,Pakistan,Khalid Ibadulla,4,8,0,253,166,31.62,278,16.9,1,0,0,26,0,1964,1967,Test,3
675,New_Zealand_Zealand,JFM Morrison,18,15,3,252,55,21.0,472,53.38,0,1,0,22,1,1975,1983,ODI,8
2096,New_Zealand_Zealand,TB Burtt,10,15,3,252,42,21.0,0,0.0,0,0,1,10,1,1947,1953,Test,6
2217,Pakistan,Sohail Khan,9,12,2,252,65,25.2,328,76.82,0,1,0,34,8,2009,2016,Test,7
243,Australia,NM Coulter-Nile,32,21,6,252,92,16.8,262,96.18,0,1,2,20,6,2013,2019,ODI,6
2383,South_Africa_Africa,CM Francois,5,9,1,252,72,31.5,0,0.0,0,1,0,0,0,1922,1923,Test,1
2382,South_Africa_Africa,HGO Owen-Smith,5,8,2,252,129,42.0,0,0.0,1,1,0,0,2,1929,1929,Test,0
544,England,CT Radley,4,4,1,250,117,83.33,367,68.11,1,1,0,25,0,1978,1978,ODI,0
676,New_Zealand_Zealand,JAH Marshall,10,10,0,250,161,25.0,313,79.87,1,1,2,19,4,2005,2008,ODI,3
1115,Sri_Lanka_Lanka,GF Labrooy,44,36,7,249,33,8.58,350,71.14,0,0,6,13,3,1986,1992,ODI,6
545,England,AR Caddick,54,38,18,249,36,12.45,395,63.03,0,0,6,19,3,1993,2003,ODI,10
2767,India,RV Uthappa,13,12,2,249,50,24.9,211,118.0,0,1,1,26,6,2007,2015,T20,8
2471,Sri_Lanka_Lanka,CRD Fernando,40,47,17,249,39,8.3,709,35.11,0,0,8,30,1,2000,2012,Test,12
2218,Pakistan,Shaheen Shah Afridi,31,41,10,249,29,8.03,556,44.78,0,0,9,31,5,2018,2024,Test,6
954,South_Africa_Africa,T Stubbs,9,9,2,249,112,35.57,282,88.29,1,1,2,13,8,2023,2025,ODI,2
1281,West_Indies_Indies,JD Campbell,6,5,0,248,179,49.6,214,115.88,1,0,0,25,8,2019,2019,ODI,0
1743,Bangladesh,Abdur Razzak,13,22,6,248,43,15.5,382,64.92,0,0,1,30,6,2006,2018,Test,12
1524,India,J Yadav,6,9,1,248,104,31.0,575,43.13,1,1,0,30,1,2016,2022,Test,6
2097,New_Zealand_Zealand,AW Roberts,5,10,1,248,66,27.55,0,0.0,0,3,0,0,0,1930,1937,Test,7
2098,New_Zealand_Zealand,EJ Gray,10,16,0,248,50,15.5,947,26.18,0,1,0,20,0,1983,1988,Test,5
677,New_Zealand_Zealand,RH Vance,8,8,0,248,96,31.0,481,51.55,0,1,0,10,3,1988,1989,ODI,1
679,New_Zealand_Zealand,JM Parker,24,20,0,248,66,12.4,403,61.53,0,1,1,17,0,1974,1981,ODI,7
678,New_Zealand_Zealand,RB Reid,9,9,0,248,64,27.55,448,55.35,0,2,0,25,1,1988,1991,ODI,3
244,Australia,A Turner,6,6,0,247,101,41.16,309,79.93,1,0,0,25,1,1975,1975,ODI,0
2958,Bangladesh,Mohammad Saifuddin,41,23,12,247,39,22.45,216,114.35,0,0,2,19,9,2017,2025,T20,8
2099,New_Zealand_Zealand,MHW Papps,8,16,1,246,86,16.4,696,35.34,0,2,4,37,0,2004,2007,Test,3
1282,West_Indies_Indies,JP Greaves,13,12,2,246,50,24.6,246,100.0,0,1,0,28,4,2022,2025,ODI,3
2698,West_Indies_Indies,BA Davis,4,8,0,245,68,30.62,0,0.0,0,3,0,0,0,1965,1965,Test,0
1525,India,RB Kenny,5,10,1,245,62,27.22,0,0.0,0,3,2,0,0,1958,1960,Test,2
546,England,AD Mascarenhas,20,13,2,245,52,22.27,257,95.33,0,1,2,12,13,2007,2009,ODI,2
2699,West_Indies_Indies,RK Nunes,4,8,0,245,92,30.62,501,31.53,0,2,1,19,0,1928,1930,Test,2
547,England,SM Davies,8,8,0,244,87,30.5,231,105.62,0,1,1,36,0,2009,2011,ODI,2
1744,Bangladesh,Shuvagata Hom,8,15,4,244,50,22.18,437,55.83,0,1,3,29,0,2014,2016,Test,2
1116,Sri_Lanka_Lanka,RAS Lakmal,86,48,22,244,26,9.38,404,60.39,0,0,9,18,3,2009,2021,ODI,12
1745,Bangladesh,Mehrab Hossain jnr,7,13,1,243,83,20.25,476,51.05,0,1,1,32,1,2007,2009,Test,2
83,India,BP Patel,10,9,1,243,82,30.37,399,60.9,0,1,0,22,3,1974,1979,ODI,5
2700,West_Indies_Indies,XM Marshall,7,12,0,243,85,20.25,488,49.79,0,2,1,37,2,2005,2009,Test,4
548,England,PR Downton,28,20,5,242,44,16.13,358,67.59,0,0,2,13,0,1977,1988,ODI,11
2219,Pakistan,Ali Naqvi,5,9,1,242,115,30.25,677,35.74,1,0,0,31,0,1997,1998,Test,1
1526,India,CD Gopinath,8,12,1,242,50,22.0,0,0.0,0,1,4,0,0,1951,1960,Test,9
831,Pakistan,Hasan Raza,16,13,0,242,77,18.61,480,50.41,0,1,1,11,1,1996,1999,ODI,3
2701,West_Indies_Indies,D Williams,11,19,1,242,65,13.44,754,32.09,0,1,7,22,0,1992,1998,Test,6
2862,Australia,UT Khawaja,9,9,0,241,58,26.77,182,132.41,0,1,0,31,5,2016,2016,T20,0
1746,Bangladesh,Mehrab Hossain,9,18,0,241,71,13.38,738,32.65,0,1,2,26,0,2000,2003,Test,3
3435,Sri_Lanka_Lanka,GSNFG Jayasuriya,18,16,0,241,40,15.06,222,108.55,0,0,1,20,8,2015,2020,T20,5
245,Australia,MJ Di Venuto,9,9,0,241,89,26.77,281,85.76,0,2,0,28,0,1997,1997,ODI,0
2100,New_Zealand_Zealand,JE Mills,7,10,1,241,117,26.77,0,0.0,1,0,2,0,0,1930,1933,Test,3
3331,South_Africa_Africa,JN Malan,11,11,0,241,55,21.9,186,129.56,0,1,1,25,11,2019,2021,T20,2
246,Australia,DK Lillee,63,34,8,240,42,9.23,320,75.0,0,0,6,17,1,1972,1983,ODI,11
1527,India,SLV Raju,28,34,10,240,31,10.0,756,29.89,0,0,3,12,0,1990,2001,Test,11
2220,Pakistan,Naved-ul-Hasan,9,15,3,239,42,19.91,284,84.15,0,0,2,32,5,2004,2007,Test,3
956,South_Africa_Africa,M Morkel,114,45,17,239,32,8.53,321,74.45,0,0,9,19,7,2007,2018,ODI,11
955,South_Africa_Africa,KA Maharaj,48,24,5,239,40,12.57,292,81.84,0,0,1,29,2,2017,2025,ODI,8
1283,West_Indies_Indies,J Garner,98,41,15,239,37,9.19,360,66.38,0,0,5,6,4,1977,1987,ODI,10
3235,Pakistan,Usman Khan,19,17,1,239,52,14.93,196,121.93,0,1,0,21,6,2024,2025,T20,1
1117,Sri_Lanka_Lanka,CRD Fernando,146,61,35,239,20,9.19,392,60.96,0,0,9,19,2,2001,2012,ODI,11
1284,West_Indies_Indies,DC Thomas,21,19,2,238,37,14.0,364,65.38,0,0,3,19,2,2009,2013,ODI,4
3436,Sri_Lanka_Lanka,J Mubarak,16,15,4,238,46,21.63,188,126.59,0,0,2,21,8,2007,2009,T20,2
1528,India,S Wazir Ali,7,14,0,237,42,16.92,0,0.0,0,0,1,0,0,1932,1936,Test,4
3236,Pakistan,Khalid Latif,13,13,2,237,59,21.54,229,103.49,0,1,1,25,6,2008,2016,T20,8
1118,Sri_Lanka_Lanka,I Udana,21,18,4,237,78,16.92,249,95.18,0,1,2,17,10,2012,2021,ODI,9
2101,New_Zealand_Zealand,FB Smith,4,6,1,237,96,47.4,0,0.0,0,2,0,1,3,1947,1952,Test,5
354,Bangladesh,Enamul Haque,29,26,5,236,32,11.23,479,49.26,0,0,1,18,0,1990,2002,ODI,12
832,Pakistan,Khurram Manzoor,7,7,0,236,83,33.71,375,62.93,0,3,1,21,0,2008,2009,ODI,1
2384,South_Africa_Africa,CN Frank,3,6,0,236,152,39.33,0,0.0,1,0,0,20,0,1921,1921,Test,0
2768,India,YK Pathan,22,18,5,236,37,18.15,161,146.58,0,0,3,11,17,2007,2012,T20,5
1364,Afghanistan,Mujeeb Ur Rahman,75,40,14,236,64,9.07,262,90.07,0,1,12,25,9,2017,2023,ODI,6
680,New_Zealand_Zealand,GJ Hopkins,25,17,1,236,45,14.75,311,75.88,0,0,3,19,2,2004,2010,ODI,6
3332,South_Africa_Africa,RE Levi,13,13,2,236,117,21.45,167,141.31,1,1,3,20,15,2012,2012,T20,0
1747,Bangladesh,Nayeem Hasan,14,22,5,235,26,13.82,581,40.44,0,0,1,21,0,2018,2025,Test,7
2221,Pakistan,Hasan Raza,7,10,1,235,68,26.11,608,38.65,0,2,1,39,0,1996,2005,Test,9
2702,West_Indies_Indies,KU Carty,7,14,0,235,42,16.78,513,45.8,0,0,2,23,1,2024,2025,Test,1
2385,South_Africa_Africa,LG Pretorius,2,3,0,235,153,78.33,253,92.88,1,1,0,18,7,2025,2025,Test,0
549,England,JP Crawley,13,12,1,235,73,21.36,408,57.59,0,2,2,14,1,1994,1999,ODI,5
833,Pakistan,Abid Ali,6,6,0,234,112,39.0,250,93.6,1,1,1,29,0,2019,2020,ODI,1
834,Pakistan,Iftikhar Anjum,62,34,19,234,32,15.6,378,61.9,0,0,4,15,3,2004,2010,ODI,6
2863,Australia,AT Carey,38,26,5,233,37,11.09,215,108.37,0,0,2,19,7,2018,2021,T20,3
957,South_Africa_Africa,MP Breetzke,2,2,0,233,150,116.5,232,100.43,1,1,0,21,6,2025,2025,ODI,0
355,Bangladesh,Taskin Ahmed,81,45,13,233,21,7.28,413,56.41,0,0,9,15,8,2014,2025,ODI,11
550,England,P Mustard,10,10,0,233,83,23.3,252,92.46,0,1,0,28,5,2007,2008,ODI,1
1748,Bangladesh,Mushfiqur Rahman,10,19,2,232,46,13.64,755,30.72,0,0,5,23,0,2001,2004,Test,3
1285,West_Indies_Indies,AME Roberts,56,32,9,231,37,10.04,357,64.7,0,0,3,12,3,1975,1983,ODI,8
84,India,STR Binny,14,11,3,230,77,28.75,246,93.49,0,1,1,23,5,2014,2015,ODI,1
2102,New_Zealand_Zealand,NS Harford,8,15,0,229,93,15.26,0,0.0,0,2,4,0,0,1955,1958,Test,3
1529,India,JM Ghorpade,8,15,0,229,41,15.26,0,0.0,0,0,3,6,0,1953,1959,Test,6
1119,Sri_Lanka_Lanka,SHU Karnain,19,17,5,229,41,19.08,386,59.32,0,0,2,8,3,1984,1990,ODI,6
2222,Pakistan,Ashraf Ali,8,8,3,229,65,45.8,336,46.13,0,2,0,21,0,1982,1987,Test,5
