,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,Start_Year,End/Current_Year,Format,Careerspan
8,India,V Sehwag,241,235,9,7995,219,35.37,7655,104.44,15,37,14,1092,131,1999,2013,ODI,14
153,Australia,MJ Clarke,245,223,44,7981,130,44.58,10104,78.98,8,58,10,665,53,2003,2015,ODI,12
301,Bangladesh,Mushfiqur Rahim,274,256,42,7795,144,36.42,9780,79.7,9,49,12,617,100,2006,2025,ODI,19
1810,England,MA Atherton,115,212,7,7728,185,37.69,20609,37.49,16,46,20,904,4,1989,2001,Test,12
1811,England,IR Bell,118,205,24,7727,235,42.69,15622,49.46,22,46,14,919,39,2004,2015,Test,11
1554,Australia,JL Langer,105,182,12,7696,250,45.27,14192,54.22,23,30,11,912,40,1993,2007,Test,14
1954,New_Zealand_Zealand,LRPL Taylor,112,196,24,7683,290,44.66,12957,59.29,19,35,14,932,55,2007,2022,Test,15
1812,England,MC Cowdrey,114,188,15,7624,182,44.06,6272,37.45,22,38,9,708,13,1954,1975,Test,21
302,Bangladesh,Shakib Al Hasan,247,234,31,7570,134,37.29,9138,82.84,9,56,12,699,54,2006,2023,ODI,17
154,Australia,SR Waugh,325,288,58,7569,120,32.9,9971,75.91,3,45,15,530,68,1986,2002,ODI,16
2557,West_Indies_Indies,CG Greenidge,108,185,16,7558,226,44.72,11932,49.49,19,34,11,872,67,1974,1991,Test,17
746,Pakistan,Shoaib Malik,287,258,40,7534,143,34.55,9199,81.9,9,44,15,603,113,1999,2019,ODI,20
2106,Pakistan,Mohammad Yousuf,90,156,12,7530,223,52.29,14372,52.39,24,33,11,957,51,1998,2010,Test,12
1555,Australia,MA Taylor,104,186,13,7525,334,43.49,18140,41.48,19,40,5,727,9,1989,1999,Test,10
2558,West_Indies_Indies,CH Lloyd,110,175,14,7515,242,46.67,6942,56.68,19,39,4,712,70,1966,1985,Test,19
2559,West_Indies_Indies,DL Haynes,116,202,25,7487,184,42.29,15052,44.41,18,39,10,818,24,1978,1994,Test,16
1044,Sri_Lanka_Lanka,A Ranatunga,269,255,47,7456,131,35.84,9571,77.9,4,49,18,523,64,1982,1999,ODI,17
1556,Australia,DC Boon,107,190,20,7422,200,43.65,18116,40.96,21,32,16,822,2,1984,1996,Test,12
747,Pakistan,Javed Miandad,233,218,41,7381,119,41.7,11014,67.01,8,50,8,445,44,1975,1996,ODI,21
594,New_Zealand_Zealand,MJ Guptill,198,195,19,7346,237,41.73,8415,87.29,18,39,16,750,187,2009,2022,ODI,13
2257,South_Africa_Africa,G Kirsten,101,176,15,7289,275,45.27,16783,43.43,21,34,13,922,12,1993,2004,Test,11
748,Pakistan,Younis Khan,265,255,23,7249,144,31.24,9628,75.29,7,48,22,578,56,2000,2015,ODI,15
1813,England,WR Hammond,85,140,16,7249,336,58.45,7491,38.07,22,24,4,419,27,1927,1947,Test,20
595,New_Zealand_Zealand,KS Williamson,173,165,18,7235,148,49.21,8853,81.72,15,47,5,664,60,2010,2025,ODI,15
2406,Sri_Lanka_Lanka,FDM Karunaratne,100,191,7,7222,244,39.25,14024,51.49,16,39,13,764,12,2012,2025,Test,13
2560,West_Indies_Indies,CH Gayle,103,182,11,7214,333,42.18,11970,60.26,15,37,15,1046,98,2000,2014,Test,14
1402,India,SC Ganguly,113,188,17,7212,239,42.17,14070,51.25,16,35,13,900,57,1996,2008,Test,12
1403,India,CA Pujara,103,176,11,7195,206,43.6,16217,44.36,19,35,12,863,16,2010,2023,Test,13
1955,New_Zealand_Zealand,SP Fleming,111,189,10,7172,274,40.06,15652,45.82,9,46,16,917,26,1994,2008,Test,14
749,Pakistan,Saleem Malik,283,256,38,7170,102,32.88,9383,76.41,5,47,19,514,34,1982,1999,ODI,17
2107,Pakistan,Azhar Ali,97,180,11,7142,302,42.26,17033,41.93,19,35,19,694,22,2010,2022,Test,12
442,England,JE Root,180,169,24,7126,166,49.14,8134,87.6,18,42,9,575,53,2013,2025,ODI,12
1557,Australia,GS Chappell,87,151,19,7110,247,53.86,13079,51.53,24,31,12,755,16,1970,1984,Test,14
596,New_Zealand_Zealand,NJ Astle,223,217,14,7090,145,34.92,9760,72.64,16,41,19,720,86,1995,2007,ODI,12
1814,England,AJ Strauss,100,178,6,7037,177,40.91,14385,48.91,21,27,15,867,10,2004,2012,Test,8
1815,England,BA Stokes,115,206,9,7032,258,35.69,11845,59.36,14,35,16,810,136,2013,2025,Test,12
1558,Australia,DG Bradman,52,80,10,6996,334,99.94,9800,58.6,29,13,7,626,6,1928,1948,Test,20
