,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,Start_Year,End/Current_Year,Format
86,India,RP Singh,10,2,2,3,2,0.0,3,100.0,0,0,0,0,0,2007,2009,T20
87,India,MM Sharma,8,2,2,3,3,0.0,7,42.85,0,0,0,0,0,2014,2015,T20
88,India,R Vinay Kumar,9,1,1,2,2,0.0,4,50.0,0,0,0,0,0,2010,2013,T20
89,India,DS Kulkarni,2,1,1,1,1,0.0,1,100.0,0,0,0,0,0,2016,2016,T20
90,India,Sandeep Sharma,2,1,1,1,1,0.0,1,100.0,0,0,0,0,0,2015,2015,T20
91,India,MP Yadav,3,1,1,1,1,0.0,1,100.0,0,0,0,0,0,2024,2024,T20
92,India,R Dhawan,1,1,1,1,1,0.0,2,50.0,0,0,0,0,0,2016,2016,T20
93,India,KK Ahmed,18,2,2,1,1,0.0,2,50.0,0,0,0,0,0,2018,2024,T20
94,India,CV Varun,18,3,1,1,1,0.5,6,16.66,0,0,2,0,0,2021,2025,T20
96,Australia,DA Warner,110,110,12,3277,100,33.43,2300,142.47,1,28,6,337,122,2009,2024,T20
97,Australia,AJ Finch,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125,2011,2022,T20
98,Australia,GJ Maxwell,122,112,17,2755,145,29.0,1770,155.64,5,11,5,231,145,2012,2025,T20
99,Australia,MR Marsh,71,68,11,1723,92,30.22,1273,135.34,0,9,3,149,82,2011,2025,T20
100,Australia,SR Watson,58,56,6,1462,124,29.24,1006,145.32,1,10,3,115,83,2006,2016,T20
101,Australia,MP Stoinis,74,61,22,1245,78,31.92,838,148.56,0,5,2,99,63,2015,2024,T20
102,Australia,MS Wade,92,68,22,1202,80,26.13,896,134.15,0,3,1,95,46,2011,2024,T20
103,Australia,TM Head,39,38,4,1095,91,32.2,688,159.15,0,5,2,114,53,2016,2025,T20
104,Australia,SPD Smith,67,55,11,1094,90,24.86,872,125.45,0,5,1,96,26,2010,2024,T20
105,Australia,CL White,47,44,14,984,85,32.8,740,132.97,0,5,3,71,44,2007,2014,T20
106,Australia,JP Inglis,35,34,6,878,110,31.35,533,164.72,2,2,3,89,37,2022,2025,T20
107,Australia,TH David,44,37,11,858,102,33.0,494,173.68,1,3,4,61,62,2022,2025,T20
108,Australia,DJ Hussey,39,36,3,756,88,22.9,623,121.34,0,3,4,41,34,2008,2012,T20
109,Australia,MEK Hussey,38,30,11,721,60,37.94,529,136.29,0,4,1,58,25,2005,2012,T20
110,Australia,DJM Short,23,23,2,642,76,30.57,540,118.88,0,4,1,71,15,2018,2020,T20
111,Australia,C Green,19,18,4,503,62,35.92,310,162.25,0,6,0,39,31,2022,2025,T20
112,Australia,MJ Clarke,34,28,5,488,67,21.21,473,103.17,0,1,2,29,10,2005,2010,T20
