,Country,Player,Span,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes
121,Australia,CA Lynn,2014-2018,18,16,1,291,44,19.40,221,131.67,-,-,1,28,14
122,Australia,AC Agar,2016-2024,49,29,5,279,29,11.62,278,100.35,-,-,4,19,9
123,Australia,AC Gilchrist,2005-2008,13,13,1,272,48,22.66,192,141.66,-,-,-,27,13
124,Australia,SE Marsh,2008-2016,15,15,1,255,47*,18.21,248,102.82,-,-,2,15,10
125,Australia,UT Khawaja,2016-2016,9,9,-,241,58,26.77,182,132.41,-,1,-,31,5
126,Australia,AT Carey,2018-2021,38,26,5,233,37*,11.09,215,108.37,-,-,2,19,7
127,Australia,BJ Hodge,2007-2014,15,11,4,183,36,26.14,144,127.08,-,-,-,9,7
128,Australia,AM Hardie,2023-2025,15,10,3,179,28*,25.57,140,127.85,-,-,-,19,5
129,Australia,JP Faulkner,2012-2017,24,18,7,159,41*,14.45,138,115.21,-,-,-,7,5
130,Australia,PJ Cummins,2011-2024,57,27,12,158,28,10.53,133,118.79,-,-,4,11,7
131,Australia,NM Coulter-Nile,2013-2019,28,15,4,150,34,13.63,120,125.00,-,-,3,10,10
132,Australia,JR Philippe,2021-2023,12,12,-,150,45,12.50,137,109.48,-,-,1,11,5
133,Australia,M Klinger,2017-2017,3,3,-,143,62,47.66,112,127.67,-,1,-,12,2
134,Australia,AC Voges,2007-2013,7,5,2,139,51,46.33,114,121.92,-,1,-,8,2
135,Australia,MJ Owen,2025-2025,6,5,1,127,50,31.75,69,184.05,-,1,-,5,12
136,Australia,DR Martyn,2005-2006,4,4,-,120,96,30.00,74,162.16,-,1,-,11,5
137,Australia,DT Christian,2010-2021,23,14,6,118,39,14.75,93,126.88,-,-,1,7,6
138,Australia,J Fraser-McGurk,2024-2025,8,8,-,115,50,14.37,86,133.72,-,1,2,16,3
139,Australia,AJ Turner,2017-2023,19,14,5,110,24,12.22,131,83.96,-,-,1,4,2
140,Australia,MG Johnson,2007-2013,30,17,7,109,28*,10.90,95,114.73,-,-,2,8,3
